date,available,total,average_price
2022-06-21,f,15784,238.8820
2022-03-14,f,16376,238.7915
2022-06-20,f,15825,238.5183
2022-05-19,f,13959,238.1994
2022-06-13,f,16166,238.1588
2022-06-29,f,16096,237.9573
2022-06-14,f,16044,237.7708
2022-06-27,f,15750,237.7139
2022-04-10,f,18340,237.3502
2023-03-08,f,10092,237.0086
2022-04-17,f,17151,236.9884
2022-03-10,f,17917,236.8328
2022-05-31,f,13004,236.6632
2022-03-16,f,15910,236.6558
2022-03-09,f,18064,236.6223
2022-04-13,f,17750,236.6039
2022-03-21,f,14727,236.4945
2022-06-28,f,16032,236.4662
2022-05-05,f,14579,236.0096
2022-03-23,f,14453,235.8157
2022-03-28,f,12993,235.7063
2022-04-11,f,17869,235.5675
2022-05-23,f,13469,235.4448
2022-03-15,f,15952,235.3959
2022-05-16,f,13926,235.3553
2022-05-11,f,14241,235.1438
2022-03-29,f,12704,235.0324
2022-05-25,f,13451,234.9690
2022-04-18,f,16917,234.9083
2022-04-20,f,16936,234.7417
2022-04-12,f,17660,234.6676
2022-05-17,f,13675,234.4906
2022-03-22,f,14342,234.4429
2022-06-08,f,16225,234.4125
2022-06-05,f,13275,234.3943
2022-05-08,f,14224,234.3683
2022-04-28,f,15955,234.0994
2022-06-02,f,12886,234.0386
2022-05-24,f,13359,233.8179
2022-06-07,f,16125,233.6489
2022-04-24,f,16113,233.5899
2022-04-07,f,18639,233.5596
2022-05-18,f,13730,233.3884
2022-04-19,f,16842,233.3166
2022-05-01,f,15022,233.2915
2022-06-06,f,16129,232.8056
2022-05-09,f,13888,232.1017
2022-05-10,f,13934,231.9752
2022-04-03,f,19139,231.0101
2022-06-01,f,12806,230.9075
2022-05-04,f,14354,230.8193
2022-05-02,f,14494,230.5694
2022-05-03,f,14339,230.4923
2022-04-25,f,15673,230.2932
2022-04-26,f,15483,229.7238
2022-04-27,f,15581,229.5142
2023-03-30,f,5452,229.1285
2022-04-06,f,18357,228.7774
2022-04-04,f,18608,228.0537
2022-04-05,f,18335,227.9679
2022-03-31,f,20442,226.9520
2022-03-30,f,15211,225.7917
2023-03-25,f,7900,215.3001
2023-03-18,f,7901,215.2060
2023-03-24,f,7900,215.1701
2023-03-11,f,7900,215.1405
2023-03-17,f,7900,215.1372
2023-03-10,f,7900,214.9774
2023-03-26,f,7899,211.5708
2023-03-19,f,7899,211.5366
2023-03-12,f,7900,211.4534
2023-03-23,f,7899,211.4054
2023-03-16,f,7899,211.3763
2023-03-13,f,7899,211.3278
2023-03-09,f,7899,211.2971
2023-03-27,f,7899,211.2662
2023-03-15,f,7899,211.2235
2023-03-14,f,7899,211.1990
2023-03-29,f,7900,211.1679
2023-03-28,f,7899,211.1403
2023-03-20,f,7898,211.1386
2023-03-22,f,7898,211.0292
2023-03-21,f,7898,210.9888
